,Freitag,Schwander,Severinghaus,Witrant,Battle,Adolph
218,0.5191564559936523,0.48935413360595703,0.5484819412231445,0.529170036315918,0.49042701721191406,0.5360841751098633
219,0.5025863647460938,0.47576427459716797,0.5320310592651367,0.5123615264892578,0.4767179489135742,0.5195140838623047
220,0.48720836639404297,0.46253204345703125,0.5167722702026367,0.4971027374267578,0.4633665084838867,0.5044937133789062
221,0.47147274017333984,0.45013427734375,0.5015134811401367,0.48220157623291016,0.4507303237915039,0.48863887786865234
222,0.45669078826904297,0.43833255767822266,0.48720836639404297,0.46813488006591797,0.43892860412597656,0.47409534454345703
223,0.4429817199707031,0.4267692565917969,0.47385692596435547,0.4546642303466797,0.42724609375,0.46062469482421875
224,0.4292726516723633,0.415802001953125,0.46062469482421875,0.44155120849609375,0.4162788391113281,0.44715404510498047
225,0.41675567626953125,0.4055500030517578,0.44846534729003906,0.42939186096191406,0.4057884216308594,0.4347562789916992
226,0.4042387008666992,0.3955364227294922,0.43654441833496094,0.41747093200683594,0.39589405059814453,0.42259693145751953
227,0.39255619049072266,0.38611888885498047,0.4252195358276367,0.4062652587890625,0.38611888885498047,0.41103363037109375
229,0.38123130798339844,0.3769397735595703,0.4144906997680664,0.3954172134399414,0.3770589828491211,0.40018558502197266
230,0.37038326263427734,0.3682374954223633,0.40411949157714844,0.38504600524902344,0.36847591400146484,0.38945674896240234
231,0.3603696823120117,0.36013126373291016,0.3948211669921875,0.37550926208496094,0.36013126373291016,0.37980079650878906
232,0.34987926483154297,0.35178661346435547,0.38492679595947266,0.3657341003417969,0.35202503204345703,0.36966800689697266
233,0.3399848937988281,0.3440380096435547,0.3757476806640625,0.35643577575683594,0.34368038177490234,0.36013126373291016
234,0.33080577850341797,0.3370046615600586,0.36728382110595703,0.3399848937988281,0.3371238708496094,0.35130977630615234
235,0.3216266632080078,0.3292560577392578,0.35893917083740234,0.3319978713989258,0.3292560577392578,0.3426074981689453
236,0.3126859664916992,0.32269954681396484,0.35071372985839844,0.32508373260498047,0.32258033752441406,0.33402442932128906
237,0.3038644790649414,0.31578540802001953,0.3426074981689453,0.3179311752319336,0.31566619873046875,0.3256797790527344
238,0.2962350845336914,0.31006336212158203,0.33593177795410156,0.31197071075439453,0.30994415283203125,0.3185272216796875
240,0.2884864807128906,0.30410289764404297,0.3292560577392578,0.3058910369873047,0.3037452697753906,0.3113746643066406
241,0.28014183044433594,0.2976655960083008,0.3217458724975586,0.29861927032470703,0.2970695495605469,0.30350685119628906
242,0.2722740173339844,0.2917051315307617,0.31495094299316406,0.29265880584716797,0.2913475036621094,0.2961158752441406
243,0.26535987854003906,0.2868175506591797,0.308990478515625,0.2874135971069336,0.28693675994873047,0.28967857360839844
244,0.25725364685058594,0.2809762954711914,0.30171871185302734,0.28192996978759766,0.2804994583129883,0.28204917907714844
