,HLD,HLS,BAR,GOU
218,0.5743503570556641,0.5745887756347656,0.5736351013183594,0.5446672439575195
219,0.5571842193603516,0.5575418472290039,0.55694580078125,0.5277395248413086
220,0.5410909652709961,0.5412101745605469,0.5409717559814453,0.5117654800415039
221,0.5255937576293945,0.5258321762084961,0.5257129669189453,0.49626827239990234
222,0.5108118057250977,0.51116943359375,0.5110502243041992,0.48148632049560547
223,0.49674510955810547,0.4971027374267578,0.49698352813720703,0.4671812057495117
224,0.4831552505493164,0.48363208770751953,0.4837512969970703,0.4538297653198242
225,0.4703998565673828,0.47075748443603516,0.4706382751464844,0.44095516204833984
226,0.45800209045410156,0.4584789276123047,0.4583597183227539,0.42831897735595703
227,0.4464387893676758,0.4470348358154297,0.44655799865722656,0.4165172576904297
229,0.43523311614990234,0.43570995330810547,0.4349946975708008,0.4049539566040039
230,0.42438507080078125,0.42498111724853516,0.42426586151123047,0.3942251205444336
231,0.41472911834716797,0.41472911834716797,0.41365623474121094,0.3834962844848633
232,0.40471553802490234,0.4048347473144531,0.40340423583984375,0.37348270416259766
233,0.3949403762817383,0.39565563201904297,0.39386749267578125,0.36346912384033203
234,0.38635730743408203,0.3870725631713867,0.3848075866699219,0.35393238067626953
235,0.3771781921386719,0.37801265716552734,0.37539005279541016,0.34499168395996094
236,0.3694295883178711,0.37026405334472656,0.36716461181640625,0.3364086151123047
237,0.3610849380493164,0.36203861236572266,0.35834312438964844,0.32806396484375
238,0.3540515899658203,0.3548860549926758,0.3508329391479492,0.3192424774169922
240,0.34689903259277344,0.347137451171875,0.3432035446166992,0.3113746643066406
241,0.3389120101928711,0.3402233123779297,0.3358125686645508,0.3038644790649414
242,0.3324747085571289,0.3337860107421875,0.3287792205810547,0.29599666595458984
243,0.32591819763183594,0.32722949981689453,0.3216266632080078,0.28884410858154297
244,0.32007694244384766,0.3216266632080078,0.3142356872558594,0.2816915512084961
